,Oferta od,Powierzchnia m^2,Cena za m^2,Media,Lokalizacja
0,Osoby prywatnej,300,93.33,Nie,Bałuty
1,Osoby prywatnej,300,66.67,Nie,Górna
2,Osoby prywatnej,400,81.25,Nie,Polesie
3,Osoby prywatnej,350,80,Tak,Widzew
4,Osoby prywatnej,400,87.5,Tak,Śródmieście
5,Osoby prywatnej,303,115.51,Tak,Górna
6,Osoby prywatnej,350,2.57,Tak,Polesie
7,Osoby prywatnej,300,116.67,Tak,Górna
8,Osoby prywatnej,300,150,Tak,Polesie
9,Osoby prywatnej,398,82.91,Nie,Widzew
10,Osoby prywatnej,260,92.31,Nie,Śródmieście
11,Osoby prywatnej,300,66.67,Tak,Górna
12,Osoby prywatnej,300,116.67,Tak,Bałuty
13,Osoby prywatnej,303,115.51,Tak,Górna
14,Osoby prywatnej,350,134.29,Tak,Bałuty
15,Osoby prywatnej,300,33.33,Nie,Polesie
16,Osoby prywatnej,330,115.15,Nie,Bałuty
17,Osoby prywatnej,289,138.41,Tak,Górna
18,Osoby prywatnej,300,96.33,Nie,Górna
19,Osoby prywatnej,397,80.6,Nie,Widzew
20,Osoby prywatnej,350,134.29,Tak,Bałuty
21,Osoby prywatnej,300,58.33,Nie,Śródmieście
22,Osoby prywatnej,300,93.33,Nie,Bałuty
23,Osoby prywatnej,400,75,Tak,Polesie
24,Osoby prywatnej,350,2.57,Tak,Polesie
25,Osoby prywatnej,380,131.58,Tak,Górna
26,Osoby prywatnej,320,203.13,Tak,Bałuty
27,Osoby prywatnej,170,347.06,Nie,Polesie
28,Osoby prywatnej,300,116.67,Tak,Górna
29,Osoby prywatnej,170,347.06,Nie,Polesie
30,Osoby prywatnej,353,453.25,Nie,Górna
